"year";"month";"week_of_year";"day_of_week";"traffic";"outdoor";"radio";"internet";"komunikacja";"event";"temp";"cisnienie"
2015;1;1;5;22099;855.29;0;634.18;0;0;4;1006.91
2015;1;1;6;20267;855.29;0;634.18;0;0;4;1003.92
2015;1;1;7;15491;855.29;0;634.18;0;0;2;1000.91
2015;1;2;1;22585;855.29;0;634.18;0;0;2;1008.25
2015;1;2;3;20757;855.29;699.18;634.18;0;0;0;1012.25
2015;1;2;4;20421;855.29;699.18;634.18;0;0;3;1009.59
2015;1;2;5;21669;855.29;699.18;634.18;0;0;5;999.25
2015;1;2;6;22494;855.29;699.18;634.18;0;0;10;987.92
2015;1;2;7;16391;855.29;699.18;634.18;0;0;10;992.25
2015;1;3;1;19357;855.29;699.18;4587;0;0;5;999.25
2015;1;3;2;22249;855.29;699.18;0;0;0;7;998.59
2015;1;3;3;22377;855.29;699.18;0;0;0;9;995.58
2015;1;3;4;22210;855.29;699.18;0;0;0;5;999.25
2015;1;3;5;23589;855.29;0;0;0;0;7;996.25
2015;1;3;6;21188;855.29;0;0;0;0;5;995.92
2015;1;3;7;15541;855.29;0;0;0;0;3;998.92
2015;1;4;1;21880;855.29;835.29;662.54;0;10000;2;996.92
2015;1;4;2;22251;855.29;835.29;662.54;0;10000;2;998.58
2015;1;4;3;22429;855.29;835.29;662.54;0;10000;4;998.92
2015;1;4;4;21641;855.29;835.29;662.54;0;10000;4;1001.91
2015;1;4;5;22104;855.29;835.29;662.54;0;10000;4;1022.92
2015;1;4;6;20261;855.29;835.29;662.54;0;14000;3;1021.92
2015;1;4;7;15278;855.29;0;0;0;0;2;1025.25
2015;1;5;1;19683;855.29;0;0;0;0;1;1028.25
2015;1;5;2;20475;855.29;0;0;0;0;2;1013.92
2015;1;5;3;22023;855.29;0;0;0;0;2;998.92
2015;1;5;4;21447;855.29;0;0;0;0;2;985.25
2015;1;5;5;22119;855.29;0;0;0;0;4;987.92
2015;1;5;6;21105;855.29;0;0;0;0;2;983.25
2015;2;5;7;15856;1016.43;0;476.7;0;0;3;971.92
2015;2;6;1;19490;1016.43;839.32;476.7;0;0;3;980.59
2015;2;6;2;19525;1016.43;839.32;476.7;0;0;3;985.92
2015;2;6;3;20460;1016.43;839.32;476.7;0;0;1;992.92
2015;2;6;4;21681;1016.43;839.32;476.7;0;0;1;1001.58
2015;2;6;5;22936;1016.43;1487.15;476.7;0;0;1;1011.92
2015;2;6;6;20013;1016.43;1487.15;476.7;0;0;2;1011.59
2015;2;6;7;15043;1016.43;1487.15;476.7;0;0;2;998.25
2015;2;7;1;18810;1016.43;1487.15;476.7;0;0;3;1002.92
2015;2;7;2;20919;1016.43;1487.15;476.7;0;0;4;1007.58
2015;2;7;3;22632;1016.43;1487.15;476.7;0;0;4;1012.59
2015;2;7;4;22556;1016.43;1487.15;476.7;0;0;4;1011.25
2015;2;7;5;24950;1016.43;1487.15;476.7;0;0;5;1008.91
2015;2;7;6;29396;1016.43;1487.15;476.7;0;4000;6;1003.25
2015;2;7;7;20880;0;1487.15;476.7;0;60000;7;1003.25
2015;2;8;1;20421;0;0;0;0;0;3;1010.92
2015;2;8;2;20386;0;0;0;0;0;5;1015.91
2015;2;8;3;20489;0;0;0;0;0;5;1022.92
2015;2;8;4;21065;0;0;0;0;0;8;1017.25
2015;2;8;5;22208;0;0;0;0;0;8;1006.91
2015;2;8;6;18904;0;0;0;0;0;6;992.59
2015;2;8;7;14736;0;0;0;0;0;6;991.25
2015;2;9;1;19882;0;0;0;0;0;9;991.92
2015;2;9;2;18890;0;0;0;0;0;8;988.92
2015;2;9;3;20302;0;0;0;0;0;8;1000.25
2015;2;9;4;19894;0;0;0;0;0;8;1005.25
2015;2;9;5;21651;0;0;0;0;0;10;999.91
2015;2;9;6;21441;0;0;0;0;0;7;1002.25
2015;3;9;7;15284;701.94;0;250;0;783.87;9;999.25
2015;3;10;1;19325;701.94;820.27;250;0;783.87;9;988.92
2015;3;10;2;18763;701.94;820.27;250;0;783.87;6;997.58
2015;3;10;3;19567;701.94;820.27;250;0;783.87;7;1003.59
2015;3;10;4;20459;701.94;820.27;250;0;783.87;6;1007.91
2015;3;10;5;20678;701.94;820.27;250;0;783.87;8;1018.92
2015;3;10;6;21179;701.94;820.27;250;0;783.87;11;1018.58
2015;3;10;7;17022;701.94;820.27;250;0;783.87;13;1015.25
2015;3;11;1;19373;701.94;820.27;250;0;783.87;13;1012.25
2015;3;11;2;20533;701.94;820.27;250;0;783.87;14;1011.25
2015;3;11;3;20966;701.94;0;250;0;783.87;10;1009.25
2015;3;11;4;19951;701.94;0;250;0;783.87;6;1012.25
2015;3;11;5;20956;701.94;0;250;0;783.87;6;1010.58
2015;3;11;6;20151;701.94;0;250;0;783.87;7;1008.59
2015;3;11;7;15486;701.94;0;250;0;783.87;11;1014.59
2015;3;12;1;19471;701.94;0;250;0;783.87;13;1018.58
2015;3;12;2;20551;701.94;0;250;0;783.87;15;1018.25
2015;3;12;3;20802;701.94;0;250;0;783.87;11;1015.59
2015;3;12;4;19878;701.94;0;250;0;783.87;10;1013.25
2015;3;12;5;21377;701.94;0;250;0;783.87;11;1010.59
2015;3;12;6;18562;701.94;0;0;0;783.87;13;1001.58
2015;3;12;7;14512;701.94;0;0;0;783.87;5;1005.92
2015;3;13;1;19373;701.94;0;0;0;783.87;9;1006.91
